feature,mean_abs_shap
categorical__checking_account_A14,0.07110514426462965
categorical__checking_account_A11,0.035646870018302454
numeric__loan_duration_months,0.03220678049049697
numeric__credit_amount_per_month,0.028532485789607837
categorical__credit_history_A34,0.026742790374841695
numeric__credit_amount,0.02553463573306289
categorical__savings_account_A61,0.024993824242535878
categorical__duration_group_<=12 months,0.016598403793526863
numeric__age,0.014328418969333427
numeric__stable_employment,0.012996950644320503
categorical__savings_account_A65,0.012443620749721024
categorical__other_installment_plans_A143,0.01222564691259238
categorical__other_installment_plans_A141,0.01216803887030298
categorical__property_A121,0.012109845825898984
categorical__checking_account_A12,0.011897928029782873
categorical__employment_A72,0.010857372956051397
categorical__property_A124,0.010593631732773959
categorical__housing_A152,0.010432973564941158
categorical__loan_purpose_A43,0.009982842963228423
numeric__installment_rate,0.00996598904707694
categorical__personal_status_sex_A93,0.00943735126430921
categorical__loan_purpose_A40,0.007619734745273557
categorical__loan_purpose_A41,0.006589937147151704
numeric__high_installment_burden,0.0065502813891145425
categorical__personal_status_sex_A92,0.00635867832036582
categorical__employment_A74,0.006322681728583562
categorical__housing_A151,0.005759889840873421
numeric__residence_years,0.005449470087483915
categorical__age_group_18-25,0.005349827541368071
categorical__credit_history_A30,0.004789088763567818
categorical__telephone_A191,0.004716988173226322
categorical__job_A173,0.0045562592972270615
categorical__loan_purpose_A46,0.004502769161288117
categorical__age_group_36-50,0.004444340037147976
categorical__telephone_A192,0.004180102126820395
categorical__credit_history_A31,0.003974992582504692
categorical__duration_group_25-36 months,0.003948605928581207
categorical__employment_A73,0.003918279375289326
categorical__duration_group_37-60 months,0.003648502376150386
categorical__loan_purpose_A42,0.003392369593355626
numeric__multiple_existing_credits,0.003345665042062164
categorical__property_A123,0.003314702356667947
numeric__existing_credits,0.003265684106020533
categorical__credit_history_A32,0.003202243882703529
categorical__age_group_26-35,0.0031761648986882193
numeric__dependents,0.0031197242629366663
categorical__duration_group_13-24 months,0.003000614631438647
categorical__job_A174,0.0029131154900688566
categorical__savings_account_A64,0.002911743646679183
categorical__property_A122,0.0028210419384079193
categorical__employment_A75,0.002782947090444427
categorical__savings_account_A62,0.002643426120178261
categorical__credit_history_A33,0.002623977447071217
categorical__other_debtors_A103,0.0026173465179848807
categorical__personal_status_sex_A91,0.002346046881192796
categorical__housing_A153,0.002229219520961597
categorical__job_A172,0.0021485252023879546
categorical__foreign_worker_A202,0.0019399288178658734
categorical__other_debtors_A101,0.001855674002061968
categorical__checking_account_A13,0.0018248766015430905
categorical__other_debtors_A102,0.0018238236819121867
categorical__loan_purpose_A49,0.0017145520311358743
categorical__foreign_worker_A201,0.0015119575097125866
categorical__employment_A71,0.0014101479623090665
categorical__savings_account_A63,0.0013530598844910648
categorical__personal_status_sex_A94,0.0011826038248145807
categorical__age_group_51-65,0.0010459082286829156
categorical__other_installment_plans_A142,0.0010448211057612936
categorical__loan_purpose_A45,0.0009635565075426978
categorical__age_group_65+,0.00047162231023828996
categorical__job_A171,0.00036648990457097044
categorical__loan_purpose_A44,0.00018412514959743138
categorical__loan_purpose_A48,0.00015301511076286665
categorical__loan_purpose_A410,0.00015088852054451934
