threshold,false_positives,false_negatives,cost
0.05,138,0,138
0.060000000000000005,137,0,137
0.07,135,0,135
0.08000000000000002,133,0,133
0.09000000000000001,132,0,132
0.1,132,0,132
0.11000000000000001,125,0,125
0.12000000000000001,123,0,123
0.13,121,0,121
0.14,118,0,118
0.15000000000000002,117,1,122
0.16000000000000003,117,1,122
0.17000000000000004,111,1,116
0.18000000000000005,107,1,112
0.19,103,1,108
0.2,103,2,113
0.21000000000000002,97,3,112
0.22000000000000003,95,4,115
0.23000000000000004,92,4,112
0.24000000000000005,89,4,109
0.25000000000000006,88,5,113
0.26000000000000006,85,5,110
0.27,81,5,106
0.28,75,5,100
0.29000000000000004,71,8,111
0.30000000000000004,69,9,114
0.31000000000000005,68,9,113
0.32000000000000006,65,9,110
0.33,64,9,109
0.34,61,9,106
0.35000000000000003,58,9,103
0.36000000000000004,55,10,105
0.37000000000000005,52,10,102
0.38000000000000006,51,11,106
0.39000000000000007,48,12,108
0.4000000000000001,46,15,121
0.4100000000000001,43,15,118
0.42000000000000004,41,15,116
0.43000000000000005,39,16,119
0.44000000000000006,33,16,113
0.45000000000000007,31,18,121
0.4600000000000001,31,19,126
0.4700000000000001,31,19,126
0.4800000000000001,29,19,124
0.49000000000000005,25,20,125
0.5000000000000001,23,21,128
0.5100000000000001,22,23,137
0.5200000000000001,20,23,135
0.5300000000000001,18,25,143
0.5400000000000001,16,29,161
0.5500000000000002,14,30,164
0.5600000000000002,13,31,168
0.5700000000000002,11,35,186
0.5800000000000002,11,36,191
0.5900000000000002,10,36,190
0.6000000000000002,9,37,194
0.6100000000000001,9,37,194
0.6200000000000001,9,37,194
0.6300000000000001,9,38,199
0.6400000000000001,9,38,199
0.6500000000000001,8,38,198
0.6600000000000001,8,40,208
0.6700000000000002,4,40,204
0.6800000000000002,4,43,219
0.6900000000000002,4,47,239
0.7000000000000002,4,50,254
0.7100000000000002,2,50,252
0.7200000000000002,2,52,262
0.7300000000000002,0,52,260
0.7400000000000002,0,52,260
0.7500000000000002,0,53,265
0.7600000000000002,0,53,265
0.7700000000000002,0,55,275
0.7800000000000001,0,55,275
0.7900000000000001,0,56,280
0.8000000000000002,0,56,280
0.8100000000000002,0,57,285
0.8200000000000002,0,58,290
0.8300000000000002,0,58,290
0.8400000000000002,0,59,295
0.8500000000000002,0,60,300
0.8600000000000002,0,60,300
0.8700000000000002,0,60,300
0.8800000000000002,0,60,300
0.8900000000000002,0,60,300
0.9000000000000002,0,60,300
0.9100000000000003,0,60,300
0.9200000000000003,0,60,300
0.9300000000000002,0,60,300
0.9400000000000002,0,60,300
0.9500000000000002,0,60,300
